mod_type,model,predicted_abundance,MAPE,RMSE,Lo 95,Lo 50,Hi 50,Hi 95,coef_intercept,coef_log_lag_jack,coef_log_cum_cnt,coef_cnt_by_flow,covar_intercept,covar_log_lag_jack,covar_log_cum_cnt,covar_cnt_by_flow,effect_intercept,effect_log_lag_jack,effect_log_cum_cnt,effect_cnt_by_flow,year,MSA,MASE,coef_ar1,coef_ar2,coef_ar3,coef_ma1,logit_p,logit_p_sd,coef_cfs_mean_ema,coef_cfs_mean_ema_sd,date,ecotype,coef_ma2,coef_drift,coef_ma3,coef_ar4
DLM,PenDlm,41704.891,5.08,5888.889,36411.344,39801.571,43699.228,47768.023,-0.059,-0,1.008,-0.015,1,0.365,0.365,-0.712,-0.059,-0,0.368,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-14,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,43786.167,6.101,5251.422,37025.29,41218.007,46670.994,53280.01,9.157,0.01,0.611,0,NA,0.365,0.381,-0.767,NA,0.004,0.233,-0,2024,6.24,0.212,NA,NA,NA,0.449,NA,NA,NA,NA,2024-07-14,summer,NA,NA,NA,NA
Joint_Lik,NA,42109.302,NA,NA,39469.892,41073.818,43305.495,46123.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.496,0.214,0.094,0.032,2024-07-14,summer,NA,NA,NA,NA
DLM,PenDlm,41542.568,4.438,4781.341,37004.267,39921.195,43229.791,46637.457,-0.061,-0,1.022,-0.014,1,0.365,0.357,-0.714,-0.061,-0,0.365,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-15,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,43402.439,5.613,4495.488,37254.914,41075.796,46005.995,51940.203,9.308,0.009,0.622,0,NA,0.365,0.373,-0.768,NA,0.003,0.232,-0,2024,5.711,0.191,NA,NA,NA,0.491,NA,NA,NA,NA,2024-07-15,summer,NA,NA,NA,NA
Joint_Lik,NA,41910.61,NA,NA,39498.668,40964.231,43004.049,45580.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.601,0.214,0.087,0.032,2024-07-15,summer,NA,NA,NA,NA
DLM,PenDlm,41327.462,3.376,4406.424,37541.407,39983.302,42716.81,45495.342,-0.058,-0,1.021,-0.012,1,0.365,0.349,-0.678,-0.058,-0,0.356,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,43060.298,5.09,3984.359,37368.204,40913.577,45453.485,50880.058,9.437,0.008,0.63,-0,NA,0.365,0.365,-0.732,NA,0.003,0.23,0,2024,5.163,0.171,NA,NA,NA,0.509,NA,NA,NA,NA,2024-07-16,summer,NA,NA,NA,NA
Joint_Lik,NA,41605.01,NA,NA,39452.698,40761.389,42578.542,44868.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.719,0.212,0.089,0.032,2024-07-16,summer,NA,NA,NA,NA
DLM,PenDlm,41170.004,3.247,3647.202,37786.715,39972.817,42403.047,44856.221,-0.055,-0,1.02,-0.01,1,0.365,0.343,-0.638,-0.055,-0,0.35,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-17,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,42920.828,4.895,3751.927,37415.008,40843.992,45237.088,50494.134,9.457,0.008,0.632,-0.001,NA,0.365,0.359,-0.689,NA,0.003,0.227,0.001,2024,4.957,0.163,NA,NA,NA,0.46,NA,NA,NA,NA,2024-07-17,summer,NA,NA,NA,NA
Joint_Lik,NA,41391.264,NA,NA,39439.081,40624.29,42278.748,44374.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.845,0.216,0.092,0.032,2024-07-17,summer,NA,NA,NA,NA
DLM,PenDlm,41230.718,3.113,3442.444,38057.458,40109.897,42382.86,44668.568,-0.042,-0.001,1.007,-0.007,1,0.365,0.339,-0.616,-0.042,-0,0.342,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-18,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,42428.508,4.645,3642.345,37299.618,40495.287,44583.401,49472.161,9.515,0.007,0.637,-0.001,NA,0.365,0.355,-0.665,NA,0.003,0.226,0.001,2024,4.708,0.157,-0.345,NA,NA,0.875,NA,NA,NA,NA,2024-07-18,summer,0.27,NA,NA,NA
Joint_Lik,NA,41330.843,NA,NA,39555.058,40632.722,42139.26,44050.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.957,0.217,0.09,0.032,2024-07-18,summer,NA,NA,NA,NA
DLM,PenDlm,41101.616,3.201,3305.852,38028.345,40016.94,42215.693,44423.254,-0.042,-0.001,1.009,-0.006,1,0.365,0.335,-0.588,-0.042,-0,0.338,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-19,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,42682.659,4.521,3565.783,37623.131,40779.082,44800.053,49588.933,9.553,0.007,0.638,-0.001,NA,0.365,0.35,-0.635,NA,0.003,0.223,0.001,2024,4.584,0.153,0.397,-0.163,NA,0.117,NA,NA,NA,NA,2024-07-19,summer,NA,NA,NA,NA
Joint_Lik,NA,41189.995,NA,NA,39586.146,40558.079,41923.62,43664.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.084,0.221,0.085,0.033,2024-07-19,summer,NA,NA,NA,NA
DLM,PenDlm,41040.727,2.757,3322.968,38155.011,40023.823,42083.467,44144.693,-0.033,-0.001,1.004,-0.002,1,0.365,0.328,-0.566,-0.033,-0,0.329,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-20,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,42360.345,4.247,3430.681,37587.735,40569.636,44346.139,48817.841,9.63,0.007,0.645,-0.001,NA,0.365,0.343,-0.612,NA,0.003,0.222,0,2024,4.311,0.146,0.328,NA,NA,0.108,NA,NA,NA,NA,2024-07-20,summer,NA,NA,NA,NA
Joint_Lik,NA,41058.686,NA,NA,39589.16,40477.261,41736.996,43358.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.207,0.229,0.076,0.034,2024-07-20,summer,NA,NA,NA,NA
DLM,PenDlm,40923.907,3.019,3065.217,38072.193,39919.206,41953.895,43989.222,-0.032,-0.002,1.005,-0.003,1,0.365,0.322,-0.583,-0.032,-0.001,0.324,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-21,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,42147.965,3.953,3240.95,37700.473,40482.614,43990.86,48129.085,9.695,0.006,0.65,-0,NA,0.365,0.338,-0.627,NA,0.002,0.219,0,2024,4.007,0.137,0.34,NA,NA,0.115,NA,NA,NA,NA,2024-07-21,summer,NA,NA,NA,NA
Joint_Lik,NA,40951.295,NA,NA,39642.875,40433.585,41555.308,42999.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.332,0.229,0.065,0.034,2024-07-21,summer,NA,NA,NA,NA
DLM,PenDlm,40838.684,2.533,2612.397,38459.805,40003.87,41690.919,43364.705,-0.033,-0.007,1.013,-0.006,1,0.365,0.318,-0.571,-0.033,-0.002,0.322,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-22,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,42098.558,3.935,3222.96,37848.775,40502.598,43871.31,47876.494,9.681,0.007,0.648,-0,NA,0.365,0.333,-0.616,NA,0.002,0.216,0,2024,3.989,0.136,0.313,NA,NA,0.125,NA,NA,NA,NA,2024-07-22,summer,NA,NA,NA,NA
Joint_Lik,NA,40929.009,NA,NA,39745.988,40459.774,41478.026,42796.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.457,0.233,0.061,0.035,2024-07-22,summer,NA,NA,NA,NA
DLM,PenDlm,40792.738,2.528,2647.773,38368.713,39941.738,41661.87,43369.907,-0.023,-0.001,1.002,0.002,1,0.365,0.312,-0.56,-0.023,-0,0.313,-0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-23,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,41957.297,3.631,3064.082,38004.933,40476.536,43597.97,47292.136,9.751,0.006,0.651,-0,NA,0.365,0.327,-0.605,NA,0.002,0.213,0,2024,3.682,0.126,NA,NA,NA,0.393,NA,NA,NA,NA,2024-07-23,summer,NA,NA,NA,NA
Joint_Lik,NA,40850.14,NA,NA,39805.637,40434.972,41337.096,42510.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.603,0.236,0.053,0.035,2024-07-23,summer,NA,NA,NA,NA
DLM,PenDlm,40851.629,2.466,2446.541,38618.146,40068.8,41649.752,43214.286,-0.017,-0,1.001,-0,1,0.365,0.307,-0.539,-0.017,-0,0.308,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-24,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,41830.243,3.396,2893.579,38097.931,40434.766,43373.028,46836.19,9.804,0.006,0.654,-0,NA,0.365,0.322,-0.585,NA,0.002,0.211,0,2024,3.44,0.118,NA,NA,NA,0.38,NA,NA,NA,NA,2024-07-24,summer,NA,NA,NA,NA
Joint_Lik,NA,40802.597,NA,NA,39860.843,40426.234,41246.856,42327.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.745,0.246,0.057,0.037,2024-07-24,summer,NA,NA,NA,NA
DLM,PenDlm,40752.989,2.373,2418.083,38521.135,39970.706,41550.583,43114.153,-0.018,-0,1,-0.006,1,0.365,0.302,-0.57,-0.018,-0,0.302,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-25,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,41662.982,3.036,2533.635,38270.667,40399.57,43053.723,46156.252,9.886,0.005,0.66,-0.001,NA,0.365,0.316,-0.615,NA,0.002,0.209,0,2024,3.073,0.105,0.276,NA,NA,0.087,NA,NA,NA,NA,2024-07-25,summer,NA,NA,NA,NA
Joint_Lik,NA,40817.785,NA,NA,39911.18,40450.134,41259.333,42361.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.867,0.272,0.075,0.041,2024-07-25,summer,NA,NA,NA,NA
DLM,PenDlm,40782.879,1.333,1420.211,39503.61,40338.031,41232.633,42103.575,-0.015,0,1.002,-0.002,1,0.365,0.301,-0.61,-0.015,0,0.301,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-26,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,41519.473,2.263,1899.78,39061.462,40607.704,42519.323,44739.772,10.033,0.003,0.673,-0,NA,0.365,0.315,-0.654,NA,0.001,0.212,0,2024,2.281,0.079,0.488,NA,NA,NA,NA,NA,NA,NA,2024-07-26,summer,NA,NA,NA,NA
Joint_Lik,NA,40947.859,NA,NA,40160.432,40628.464,41331.556,42289.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02,0.272,0.062,0.041,2024-07-26,summer,NA,NA,NA,NA
DLM,PenDlm,41107.174,1.366,1426.451,39821.185,40660.001,41559.264,42434.692,-0.012,-0,1.004,-0.009,1,0.365,0.305,-0.62,-0.012,-0,0.306,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-27,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,41734.743,2.102,1777.74,39590.528,40933.8,42620.719,44615.538,10.035,0.002,0.674,-0,NA,0.365,0.319,-0.661,NA,0.001,0.215,0,2024,2.117,0.074,0.518,NA,NA,NA,NA,NA,NA,NA,2024-07-27,summer,NA,NA,NA,NA
Joint_Lik,NA,41268.812,NA,NA,40521.72,40960.928,41645.791,42614.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16,0.3,0.052,0.047,2024-07-27,summer,NA,NA,NA,NA
DLM,PenDlm,41242.314,1.117,1237.612,40159.633,40866.472,41621.613,42354.185,-0.006,0.002,0.997,-0.004,1,0.365,0.307,-0.616,-0.006,0.001,0.306,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-28,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,41783.323,1.84,1551.328,39835.145,41059.2,42579.806,44358.296,10.092,0.002,0.676,-0,NA,0.365,0.322,-0.652,NA,0.001,0.218,0,2024,1.851,0.065,0.454,NA,NA,NA,NA,NA,NA,NA,2024-07-28,summer,NA,NA,NA,NA
Joint_Lik,NA,41398.131,NA,NA,40778.296,41138.821,41721.491,42575.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.422,0.327,0.049,0.051,2024-07-28,summer,NA,NA,NA,NA
DLM,PenDlm,41288.013,0.625,706.772,40644.168,41065.302,41511.933,41942.057,-0.002,0.002,0.994,-0.002,1,0.365,0.308,-0.609,-0.002,0.001,0.306,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-29,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,41646.212,1.211,1001.898,40240.745,41129.769,42206.835,43434.381,10.215,0.001,0.683,-0,NA,0.365,0.323,-0.643,NA,0,0.221,0,2024,1.216,0.042,0.305,NA,NA,0.082,NA,NA,NA,NA,2024-07-29,summer,NA,NA,NA,NA
Joint_Lik,NA,41376.552,NA,NA,40985.306,41211.073,41585.699,42149.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.936,0.347,0.028,0.055,2024-07-29,summer,NA,NA,NA,NA
DLM,PenDlm,41427.73,0.286,279.803,41147.867,41331.206,41524.48,41709.496,0.004,0,0.991,-0,1,0.365,0.309,-0.62,0.004,0,0.306,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-30,summer,NA,NA,NA,NA
ARIMA,MSA_weighted,41594.426,0.55,425.73,40890.836,41337.439,41871.601,42473.025,10.318,0.001,0.689,-0,NA,0.365,0.324,-0.655,NA,0,0.223,0,2024,0.551,0.019,0.207,NA,NA,NA,NA,NA,NA,NA,2024-07-30,summer,NA,NA,NA,NA
Joint_Lik,NA,41454.643,NA,NA,41269.442,41376.881,41552.044,41810.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.668,0.334,0.003,0.056,2024-07-30,summer,NA,NA,NA,NA
DLM,PenDlm,86104.901,28.483,20191.647,45074.841,68911.873,107587.468,164483.197,-0.577,1.067,-0,0.077,1,1.076,0.636,-0.394,-0.577,1.148,-0,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-15,Tule,NA,NA,NA,NA
ARIMA,MAPE_weighted,88279.63,31.975,25095.45,42784.948,68192.566,115623.471,200994.474,3.246,0.53,0.037,0.027,NA,1.076,0.677,-0.513,NA,0.57,0.025,-0.014,2024,32.097,0.792,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-15,Tule,NA,NA,NA,NA
Joint_Lik,NA,96511.165,NA,NA,55441.49,79718.584,116878.534,168469.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.741,0.286,-0.068,0.178,2024-08-15,Tule,NA,NA,NA,NA
DLM,PenDlm,87134.757,28.72,20251.125,45539.024,69696.647,108935.885,166724.388,-0.573,1.056,-0,0.102,1,1.076,1.261,-0.056,-0.573,1.136,-0,-0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-16,Tule,NA,NA,NA,NA
ARIMA,MAPE_weighted,90038.309,31.891,24680.706,43236.489,69288.223,118457.909,208090.937,3.188,0.534,0.032,0.03,NA,1.076,1.291,-0.169,NA,0.574,0.042,-0.005,2024,31.996,0.785,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-16,Tule,NA,NA,NA,NA
Joint_Lik,NA,101640.017,NA,NA,58524.496,83996.477,123060.546,177399.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.15,0.288,-0.099,NA,2024-08-16,Tule,NA,NA,NA,NA
DLM,PenDlm,88796.504,29.203,20756.977,45827.578,70719.133,111494.852,172054.024,-0.568,1.052,-0,0.09,1,1.076,1.769,0.211,-0.568,1.132,-0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-17,Tule,NA,NA,NA,NA
ARIMA,MAPE_weighted,90973.737,32.356,24295.988,43483.785,69857.91,120035.997,212552.7,3.108,0.539,0.023,0.029,NA,1.076,1.791,0.111,NA,0.58,0.041,0.003,2024,32.489,0.784,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-17,Tule,NA,NA,NA,NA
Joint_Lik,NA,106381.355,NA,NA,61296.388,87889.876,128892.764,186232.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6,0.292,-0.073,0.183,2024-08-17,Tule,NA,NA,NA,NA
DLM,PenDlm,89721.941,28.943,20825.482,46326.533,71467.498,112638.99,173767.09,-0.564,1.053,-0,0.08,1,1.076,2.249,0.364,-0.564,1.133,-0,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-18,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,90758.873,31.635,23731.436,44035.331,70093.771,119012.218,208176.374,2.797,0.561,0.008,0.024,NA,1.076,2.264,0.275,NA,0.603,0.019,0.006,2024,31.806,0.761,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-18,Tule,NA,NA,NA,NA
Joint_Lik,NA,110712.394,NA,NA,63717.531,91360.494,134384.809,195117.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.12,0.299,-0.072,0.186,2024-08-18,Tule,NA,NA,NA,NA
DLM,PenDlm,90291.871,31.102,22574.561,44907.617,71000.765,114824.423,181542.073,-0.57,1.06,0,0.07,1,1.076,2.57,0.515,-0.57,1.141,0,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-19,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,89475.846,31.064,23240.579,43492.17,69164.739,117180.497,204212.161,2.855,0.556,-0.008,0.023,NA,1.076,2.574,0.44,NA,0.598,-0.02,0.01,2024,31.194,0.74,0.032,NA,NA,NA,NA,NA,NA,NA,2024-08-19,Tule,NA,NA,NA,NA
Joint_Lik,NA,114329.224,NA,NA,65819.971,94234.317,139088.412,203298.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.634,0.309,-0.067,NA,2024-08-19,Tule,NA,NA,NA,NA
DLM,PenDlm,90936.963,41.125,30369.295,39365.211,68171.653,121304.542,210072.065,-0.565,1.057,-0.001,0.073,1,1.076,2.929,0.613,-0.565,1.138,-0.002,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-20,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,87849.856,30.894,22854.563,42896.104,68030.778,114811.651,199153.04,2.867,0.555,-0.016,0.022,NA,1.076,2.958,0.519,NA,0.597,-0.047,0.012,2024,31.06,0.733,0.033,NA,NA,NA,NA,NA,NA,NA,2024-08-20,Tule,NA,NA,NA,NA
Joint_Lik,NA,116961.129,NA,NA,64100.199,94533.747,145416.31,222533.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.256,0.353,-0.117,0.196,2024-08-20,Tule,NA,NA,NA,NA
DLM,PenDlm,84942.535,30.415,22100.253,42668.833,67023.06,107653.011,169098.466,-0.51,1.057,-0.047,0.062,1,1.076,3.077,0.625,-0.51,1.137,-0.144,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-21,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,86090.838,31.358,22731.088,42445.448,66921.467,112027.489,192447.894,2.832,0.556,-0.026,0.021,NA,1.076,3.14,0.475,NA,0.598,-0.081,0.01,2024,31.809,0.744,0.034,NA,NA,NA,NA,NA,NA,NA,2024-08-21,Tule,NA,NA,NA,NA
Joint_Lik,NA,117775.453,NA,NA,68501.806,97160.38,143484.484,211378.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.025,0.327,-0.16,0.114,2024-08-21,Tule,NA,NA,NA,NA
DLM,PenDlm,82864.218,31.391,22629.309,41110.631,65104.092,105469.233,167024.405,-0.462,1.063,-0.075,0.05,1,1.076,2.977,0.559,-0.462,1.144,-0.222,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-22,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,85831.02,32.057,22566.42,42465.102,66796.957,111567.657,191315.965,2.835,0.556,-0.031,0.019,NA,1.076,3.043,0.401,NA,0.598,-0.094,0.008,2024,32.454,0.74,0.034,NA,NA,NA,NA,NA,NA,NA,2024-08-22,Tule,NA,NA,NA,NA
Joint_Lik,NA,116087.402,NA,NA,68456.42,96173.534,140900.692,206344.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.89,0.326,-0.192,0.162,2024-08-22,Tule,NA,NA,NA,NA
DLM,PenDlm,85102.2,28.752,22967.29,43698.926,67658.814,107042.734,165733.697,-0.515,1.082,-0.051,0.046,1,1.076,2.792,0.394,-0.515,1.164,-0.143,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-23,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,87409.505,33.243,23869.574,42843.583,67777.087,114086.562,197355.936,2.879,0.556,-0.022,0.028,NA,1.076,2.856,0.221,NA,0.599,-0.063,0.006,2024,33.796,0.798,0.034,NA,NA,NA,NA,NA,NA,NA,2024-08-23,Tule,NA,NA,NA,NA
Joint_Lik,NA,116184.865,NA,NA,67996.504,95858.684,141788.996,210431.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.724,0.342,-0.155,0.031,2024-08-23,Tule,NA,NA,NA,NA
DLM,PenDlm,87632.834,32.661,28083.06,43223.8,68712.713,111762.63,177668.636,-0.539,1.086,-0.028,0.028,1,1.076,2.594,0.219,-0.539,1.169,-0.072,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-24,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,88921.587,31.299,23589.136,43465.677,68887.814,116143.865,200997.375,2.788,0.566,-0.015,0.036,NA,1.076,2.655,0.042,NA,0.609,-0.039,0.002,2024,31.455,0.748,0.035,NA,NA,NA,NA,NA,NA,NA,2024-08-24,Tule,NA,NA,NA,NA
Joint_Lik,NA,116837.813,NA,NA,70190.388,97288.311,141268.763,205989.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.639,0.33,-0.11,0.16,2024-08-24,Tule,NA,NA,NA,NA
DLM,PenDlm,94382.883,38.456,33391.25,43343.001,72207.929,123367.734,205526.346,-0.629,1.038,0.076,0.036,1,1.076,2.337,0.064,-0.629,1.117,0.178,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-25,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,89604.696,30.643,24247.183,43762.58,69408.02,117012.169,202119.708,2.786,0.568,-0.009,0.044,NA,1.076,2.393,-0.115,NA,0.612,-0.021,-0.005,2024,30.374,0.743,0.035,NA,NA,NA,NA,NA,NA,NA,2024-08-25,Tule,NA,NA,NA,NA
Joint_Lik,NA,115484.04,NA,NA,68283.567,95471.882,140853.404,209520.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.521,0.352,-0.124,0.281,2024-08-25,Tule,NA,NA,NA,NA
DLM,PenDlm,95504.06,38.031,41171.182,43793.165,73028.573,124896.669,208275.094,-0.577,1.085,0.044,0.022,1,1.076,2.142,-0.018,-0.577,1.168,0.094,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-26,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,91628.852,31.178,24560.983,44447.18,70779.94,120017.915,208481.11,2.962,0.563,-0.001,0.051,NA,1.076,2.194,-0.198,NA,0.606,-0.001,-0.01,2024,30.752,0.756,0.042,NA,NA,NA,NA,NA,NA,NA,2024-08-26,Tule,NA,NA,NA,NA
Joint_Lik,NA,111069.391,NA,NA,67720.247,92759.884,134171.397,196260.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.353,0.345,-0.194,0.069,2024-08-26,Tule,NA,NA,NA,NA
DLM,PenDlm,96658.862,29.661,22687.255,49874.338,76975.026,121376.194,187329.519,-0.583,1.098,0.05,0.041,1,1.076,2.1,-0.041,-0.583,1.182,0.104,-0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-27,Tule,NA,NA,NA,NA
ARIMA,MAPE_weighted,92002.977,32.645,24435.792,43959.425,70665.453,121239.226,213089.344,3.273,0.543,0.009,0.061,NA,1.076,2.149,-0.222,NA,0.584,0.018,-0.013,2024,31.981,0.758,0.047,NA,NA,NA,NA,NA,NA,NA,2024-08-27,Tule,NA,NA,NA,NA
Joint_Lik,NA,110137.4,NA,NA,65249.737,90601.907,135727.815,208503.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.097,0.4,-0.238,NA,2024-08-27,Tule,NA,NA,NA,NA
DLM,PenDlm,92825.737,36.351,42131.702,43089.179,71280.143,120883.84,199971.723,-0.646,1.124,0.037,0.059,1,1.076,2.166,0.002,-0.646,1.21,0.081,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-08-28,Tule,NA,NA,NA,NA
ARIMA,MSA_weighted,93659.098,31.679,26242.235,45128.658,72202.308,122845.852,213331.964,3.004,0.563,0.014,0.057,NA,1.076,2.214,-0.193,NA,0.606,0.03,-0.011,2024,31.087,0.788,0.042,NA,NA,NA,NA,NA,NA,NA,2024-08-28,Tule,NA,NA,NA,NA
Joint_Lik,NA,113303.868,NA,NA,72235.106,95576.914,136284.637,200618.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.774,0.385,-0.318,NA,2024-08-28,Tule,NA,NA,NA,NA
